F8:B3:B7:3B:A8:E0 , 220 , 0ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 221 , 2ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 222 , 1ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 223 , 1ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 224 , 5ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 225 , 4ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 226 , 3ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 227 , 1ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 228 , 3ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 229 , 6ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 230 , 12ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 231 , 36ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 232 , 1ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 233 , 0ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 234 , 5ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 235 , 1ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 236 , 23ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 237 , 11ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 238 , 3ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 239 , 2ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 240 , 3ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 241 , 4ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 242 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 243 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 244 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 245 , 0ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 246 , 0ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 247 , 6ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 248 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 249 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 250 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 251 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 252 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 253 , 11ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 254 , 77ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 255 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 256 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 257 , 17ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 258 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 259 , 31ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 260 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 261 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 262 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 263 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 264 , 7ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 265 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 266 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 267 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 268 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 269 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 270 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 271 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 272 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 273 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 274 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 275 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 276 , 88ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 277 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 278 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 279 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 280 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 281 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 282 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 283 , 3ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 284 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 285 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 286 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 287 , 4ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 288 , 11ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 289 , 50ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 290 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 291 , 105ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 292 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 293 , 2ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 294 , 14ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 295 , 6ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 296 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 297 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 298 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 299 , 1ms , 2000-01-01 , 00:00:01
F8:B3:B7:3B:A8:E0 , 300 , 22ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 301 , 15ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 302 , 5ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 303 , 1ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 304 , 0ms , 2000-01-01 , 00:00:02
F8:B3:B7:3B:A8:E0 , 305 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 306 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 307 , 2ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 308 , 3ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 309 , 5ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 310 , 2ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 311 , 3ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 312 , 0ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 313 , 1ms , 2000-01-01 , 00:00:03
F8:B3:B7:3B:A8:E0 , 314 , 17ms , 2000-01-01 , 00:00:04
F8:B3:B7:3B:A8:E0 , 315 , 1ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 316 , 0ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 317 , 1463ms , 2000-01-01 , 05:00:00
F8:B3:B7:3B:A8:E0 , 318 , 22ms , 2000-01-01 , 05:00:00
